pcd,pcd2,pcds,dointr,doterm,usertype,oseast1m,osnrth1m,osgrdind,oa11,cty,laua,ward,hlthau,hro,ctry,gor,pcon,eer,teclec,ttwa,pct,nuts,park,lsoa11,msoa11,wz11,ccg,bua11,buasd11,ru11ind,oac11,lat,long,lep1,lep2,pfa,imd
AB1 0DD,AB1  0DD,AB1 0DD,198001,199606,0,386284,800782,1,S00092401,S99999999,S12000034,S13002505,S08000020,S99999999,S92000003,S99999999,S14000058,S15000001,S09000001,S22000047,S03000013,S31001005,S99999999,S01006853,S02001296,S99999999,S03000013,S99999999,S99999999,6,1A1,57.09781,-2.228006,S99999999,S99999999,S23000009,0
AB1 0DJ,AB1  0DJ,AB1 0DJ,198001,199606,0,385350,801340,8,S00090303,S99999999,S12000033,S13002484,S08000020,S99999999,S92000003,S99999999,S14000002,S15000001,S09000001,S22000047,S03000012,S31000935,S99999999,S01006514,S02001237,S99999999,S03000012,S99999999,S99999999,3,1C3,57.102794,-2.243454,S99999999,S99999999,S23000009,0
AB1 0DL,AB1  0DL,AB1 0DL,198001,199606,0,385386,801193,1,S00090303,S99999999,S12000033,S13002484,S08000020,S99999999,S92000003,S99999999,S14000002,S15000001,S09000001,S22000047,S03000012,S31000935,S99999999,S01006514,S02001237,S99999999,S03000012,S99999999,S99999999,3,1C3,57.101474,-2.242851,S99999999,S99999999,S23000009,0
AB1 0DN,AB1  0DN,AB1 0DN,198001,199606,0,385566,801239,1,S00090303,S99999999,S12000033,S13002484,S08000020,S99999999,S92000003,S99999999,S14000002,S15000001,S09000001,S22000047,S03000012,S31000935,S99999999,S01006514,S02001237,S99999999,S03000012,S99999999,S99999999,3,1C3,57.101893,-2.239883,S99999999,S99999999,S23000009,0
AB1 0DP,AB1  0DP,AB1 0DP,198001,199606,0,385622,801182,1,S00090303,S99999999,S12000033,S13002484,S08000020,S99999999,S92000003,S99999999,S14000002,S15000001,S09000001,S22000047,S03000012,S31000935,S99999999,S01006514,S02001237,S99999999,S03000012,S99999999,S99999999,3,1C3,57.101383,-2.238955,S99999999,S99999999,S23000009,0
AB1 0DQ,AB1  0DQ,AB1 0DQ,198001,199606,0,385575,801385,1,S00090303,S99999999,S12000033,S13002484,S08000020,S99999999,S92000003,S99999999,S14000002,S15000001,S09000001,S22000047,S03000012,S31000935,S99999999,S01006514,S02001237,S99999999,S03000012,S99999999,S99999999,3,1C3,57.103205,-2.239743,S99999999,S99999999,S23000009,0
AB1 0DR,AB1  0DR,AB1 0DR,198001,199606,0,385824,801537,1,S00090311,S99999999,S12000033,S13002484,S08000020,S99999999,S92000003,S99999999,S14000002,S15000001,S09000001,S22000047,S03000012,S31000935,S99999999,S01006513,S02001237,S99999999,S03000012,S99999999,S99999999,3,6B2,57.104578,-2.235641,S99999999,S99999999,S23000009,0
AB1 0DS,AB1  0DS,AB1 0DS,198001,199606,0,385866,801631,1,S00090311,S99999999,S12000033,S13002484,S08000020,S99999999,S92000003,S99999999,S14000002,S15000001,S09000001,S22000047,S03000012,S31000935,S99999999,S01006513,S02001237,S99999999,S03000012,S99999999,S99999999,3,6B2,57.105424,-2.234953,S99999999,S99999999,S23000009,0
AB1 0DT,AB1  0DT,AB1 0DT,198001,199606,0,385943,801641,1,S00090311,S99999999,S12000033,S13002484,S08000020,S99999999,S92000003,S99999999,S14000002,S15000001,S09000001,S22000047,S03000012,S31000935,S99999999,S01006513,S02001237,S99999999,S03000012,S99999999,S99999999,3,6B2,57.105516,-2.233683,S99999999,S99999999,S23000009,0
AB1 0DU,AB1  0DU,AB1 0DU,198001,199606,0,385879,801765,1,S00090306,S99999999,S12000033,S13002484,S08000020,S99999999,S92000003,S99999999,S14000002,S15000001,S09000001,S22000047,S03000012,S31000935,S99999999,S01006514,S02001237,S99999999,S03000012,S99999999,S99999999,3,6A2,57.106628,-2.234746,S99999999,S99999999,S23000009,0
AB1 0DX,AB1  0DX,AB1 0DX,198001,199606,0,386048,801738,1,S00090304,S99999999,S12000033,S13002484,S08000020,S99999999,S92000003,S99999999,S14000002,S15000001,S09000001,S22000047,S03000012,S31000935,S99999999,S01006516,S02001237,S99999999,S03000012,S99999999,S99999999,3,6B4,57.106391,-2.231955,S99999999,S99999999,S23000009,0
AB1 0DY,AB1  0DY,AB1 0DY,199402,199606,0,385466,801182,1,S00090303,S99999999,S12000033,S13002484,S08000020,S99999999,S92000003,S99999999,S14000002,S15000001,S09000001,S22000047,S03000012,S31000935,S99999999,S01006514,S02001237,S99999999,S03000012,S99999999,S99999999,3,1C3,57.101378,-2.24153,S99999999,S99999999,S23000009,0
AB1 0EA,AB1  0EA,AB1 0EA,198001,199606,0,386064,801706,1,S00090304,S99999999,S12000033,S13002484,S08000020,S99999999,S92000003,S99999999,S14000002,S15000001,S09000001,S22000047,S03000012,S31000935,S99999999,S01006516,S02001237,S99999999,S03000012,S99999999,S99999999,3,6B4,57.106104,-2.231689,S99999999,S99999999,S23000009,0
AB1 0EB,AB1  0EB,AB1 0EB,198001,199606,0,385985,801825,1,S00090312,S99999999,S12000033,S13002484,S08000020,S99999999,S92000003,S99999999,S14000002,S15000001,S09000001,S22000047,S03000012,S31000935,S99999999,S01006513,S02001237,S99999999,S03000012,S99999999,S99999999,3,6B4,57.10717,-2.233,S99999999,S99999999,S23000009,0
AB1 0ED,AB1  0ED,AB1 0ED,198001,199606,0,386008,801793,1,S00090310,S99999999,S12000033,S13002484,S08000020,S99999999,S92000003,S99999999,S14000002,S15000001,S09000001,S22000047,S03000012,S31000935,S99999999,S01006513,S02001237,S99999999,S03000012,S99999999,S99999999,3,6B1,57.106884,-2.232618,S99999999,S99999999,S23000009,0
AB1 0EE,AB1  0EE,AB1 0EE,198001,199606,0,386152,801879,1,S00090310,S99999999,S12000033,S13002484,S08000020,S99999999,S92000003,S99999999,S14000002,S15000001,S09000001,S22000047,S03000012,S31000935,S99999999,S01006513,S02001237,S99999999,S03000012,S99999999,S99999999,3,6B1,57.107661,-2.230246,S99999999,S99999999,S23000009,0
AB1 0EF,AB1  0EF,AB1 0EF,198001,199606,0,385610,802040,8,S00090897,S99999999,S12000033,S13002484,S08000020,S99999999,S92000003,S99999999,S14000002,S15000001,S09000001,S22000047,S03000012,S31000935,S99999999,S01006514,S02001237,S99999999,S03000012,S99999999,S99999999,3,6A4,57.10909,-2.239203,S99999999,S99999999,S23000009,0
AB1 0EH,AB1  0EH,AB1 0EH,198001,199606,0,385705,801808,1,S00090306,S99999999,S12000033,S13002484,S08000020,S99999999,S92000003,S99999999,S14000002,S15000001,S09000001,S22000047,S03000012,S31000935,S99999999,S01006514,S02001237,S99999999,S03000012,S99999999,S99999999,3,6A2,57.107009,-2.237621,S99999999,S99999999,S23000009,0
AB1 0EJ,AB1  0EJ,AB1 0EJ,198001,199606,0,385524,801947,1,S00090305,S99999999,S12000033,S13002484,S08000020,S99999999,S92000003,S99999999,S14000002,S15000001,S09000001,S22000047,S03000012,S31000935,S99999999,S01006514,S02001237,S99999999,S03000012,S99999999,S99999999,3,6A2,57.108252,-2.240617,S99999999,S99999999,S23000009,0
AB1 0EL,AB1  0EL,AB1 0EL,198001,199606,0,385296,802185,1,S00090400,S99999999,S12000033,S13002484,S08000020,S99999999,S92000003,S99999999,S14000002,S15000001,S09000001,S22000047,S03000012,S31000935,S99999999,S01006515,S02001237,S99999999,S03000012,S99999999,S99999999,6,1A2,57.110383,-2.244395,S99999999,S99999999,S23000009,0
AB1 0EN,AB1  0EN,AB1 0EN,198001,199606,0,385560,801560,8,S00090305,S99999999,S12000033,S13002484,S08000020,S99999999,S92000003,S99999999,S14000002,S15000001,S09000001,S22000047,S03000012,S31000935,S99999999,S01006514,S02001237,S99999999,S03000012,S99999999,S99999999,3,6A2,57.104777,-2.240001,S99999999,S99999999,S23000009,0
AB1 0EP,AB1  0EP,AB1 0EP,198001,199606,0,385143,801535,1,S00090400,S99999999,S12000033,S13002484,S08000020,S99999999,S92000003,S99999999,S14000002,S15000001,S09000001,S22000047,S03000012,S31000935,S99999999,S01006515,S02001237,S99999999,S03000012,S99999999,S99999999,6,1A2,57.104539,-2.246883,S99999999,S99999999,S23000009,0
AB1 0EQ,AB1  0EQ,AB1 0EQ,198001,199606,0,384432,801981,1,S00090400,S99999999,S12000033,S13002484,S08000020,S99999999,S92000003,S99999999,S14000002,S15000001,S09000001,S22000047,S03000012,S31000935,S99999999,S01006515,S02001237,S99999999,S03000012,S99999999,S99999999,6,1A2,57.108521,-2.258647,S99999999,S99999999,S23000009,0
AB1 0ER,AB1  0ER,AB1 0ER,198001,199606,0,384602,802808,1,S00090400,S99999999,S12000033,S13002484,S08000020,S99999999,S92000003,S99999999,S14000002,S15000001,S09000001,S22000047,S03000012,S31000935,S99999999,S01006515,S02001237,S99999999,S03000012,S99999999,S99999999,6,1A2,57.115956,-2.255892,S99999999,S99999999,S23000009,0
AB1 0ES,AB1  0ES,AB1 0ES,198001,199606,0,383466,803696,1,S00090400,S99999999,S12000033,S13002484,S08000020,S99999999,S92000003,S99999999,S14000002,S15000001,S09000001,S22000047,S03000012,S31000935,S99999999,S01006515,S02001237,S99999999,S03000012,S99999999,S99999999,6,1A2,57.123893,-2.274709,S99999999,S99999999,S23000009,0
AB1 0ET,AB1  0ET,AB1 0ET,198001,199606,0,384991,802660,1,S00090400,S99999999,S12000033,S13002484,S08000020,S99999999,S92000003,S99999999,S14000002,S15000001,S09000001,S22000047,S03000012,S31000935,S99999999,S01006515,S02001237,S99999999,S03000012,S99999999,S99999999,6,1A2,57.11464,-2.24946,S99999999,S99999999,S23000009,0
AB1 0EU,AB1  0EU,AB1 0EU,198001,199606,0,385546,801467,1,S00090305,S99999999,S12000033,S13002484,S08000020,S99999999,S92000003,S99999999,S14000002,S15000001,S09000001,S22000047,S03000012,S31000935,S99999999,S01006514,S02001237,S99999999,S03000012,S99999999,S99999999,3,6A2,57.103941,-2.240226,S99999999,S99999999,S23000009,0
