pcd,pcd2,pcds,dointr,doterm,usertype,oseast1m,osnrth1m,osgrdind,oa11,cty,laua,ward,hlthau,hro,ctry,gor,pcon,eer,teclec,ttwa,pct,nuts,park,lsoa11,msoa11,wz11,ccg,bua11,buasd11,ru11ind,oac11,lat,long,lep1,lep2,pfa,imd
AB1 0QD,AB1  0QD,AB1 0QD,198001,199606,0,384318,800723,1,S00090380,S99999999,S12000033,S13002484,S08000020,S99999999,S92000003,S99999999,S14000002,S15000001,S09000001,S22000047,S03000012,S31000934,S99999999,S01006510,S02001236,S99999999,S03000012,S99999999,S99999999,3,6A4,57.097217,-2.26045,S99999999,S99999999,S23000009,0
AB1 0QG,AB1  0QG,AB1 0QG,199009,199606,0,384165,800695,1,S00090380,S99999999,S12000033,S13002484,S08000020,S99999999,S92000003,S99999999,S14000002,S15000001,S09000001,S22000047,S03000012,S31000934,S99999999,S01006510,S02001236,S99999999,S03000012,S99999999,S99999999,3,6A4,57.09696,-2.262973,S99999999,S99999999,S23000009,0
AB1 0QJ,AB1  0QJ,AB1 0QJ,198001,199606,0,384279,800786,1,S00090380,S99999999,S12000033,S13002484,S08000020,S99999999,S92000003,S99999999,S14000002,S15000001,S09000001,S22000047,S03000012,S31000934,S99999999,S01006510,S02001236,S99999999,S03000012,S99999999,S99999999,3,6A4,57.097781,-2.261097,S99999999,S99999999,S23000009,0
AB1 0QL,AB1  0QL,AB1 0QL,198001,199606,0,384496,800672,1,S00090299,S99999999,S12000033,S13002484,S08000020,S99999999,S92000003,S99999999,S14000002,S15000001,S09000001,S22000047,S03000012,S31000934,S99999999,S01006511,S02001236,S99999999,S03000012,S99999999,S99999999,3,6A4,57.096765,-2.257509,S99999999,S99999999,S23000009,0
AB1 0QN,AB1  0QN,AB1 0QN,198001,199606,0,384495,800738,1,S00090299,S99999999,S12000033,S13002484,S08000020,S99999999,S92000003,S99999999,S14000002,S15000001,S09000001,S22000047,S03000012,S31000934,S99999999,S01006511,S02001236,S99999999,S03000012,S99999999,S99999999,3,6A4,57.097358,-2.25753,S99999999,S99999999,S23000009,0
AB1 0QP,AB1  0QP,AB1 0QP,198001,199606,0,384652,800834,1,S00090300,S99999999,S12000033,S13002484,S08000020,S99999999,S92000003,S99999999,S14000002,S15000001,S09000001,S22000047,S03000012,S31000934,S99999999,S01006511,S02001236,S99999999,S03000012,S99999999,S99999999,3,8C1,57.098225,-2.254944,S99999999,S99999999,S23000009,0
AB1 0QQ,AB1  0QQ,AB1 0QQ,198001,199606,0,384738,800895,1,S00090399,S99999999,S12000033,S13002484,S08000020,S99999999,S92000003,S99999999,S14000002,S15000001,S09000001,S22000047,S03000012,S31000934,S99999999,S01006514,S02001237,S99999999,S03000012,S99999999,S99999999,3,6A1,57.098776,-2.253529,S99999999,S99999999,S23000009,0
AB1 0QR,AB1  0QR,AB1 0QR,198001,199606,0,384748,800764,1,S00090300,S99999999,S12000033,S13002484,S08000020,S99999999,S92000003,S99999999,S14000002,S15000001,S09000001,S22000047,S03000012,S31000934,S99999999,S01006511,S02001236,S99999999,S03000012,S99999999,S99999999,3,8C1,57.0976,-2.253356,S99999999,S99999999,S23000009,0
AB1 0QS,AB1  0QS,AB1 0QS,198001,199606,0,384806,800795,1,S00090399,S99999999,S12000033,S13002484,S08000020,S99999999,S92000003,S99999999,S14000002,S15000001,S09000001,S22000047,S03000012,S31000934,S99999999,S01006514,S02001237,S99999999,S03000012,S99999999,S99999999,3,6A1,57.09788,-2.2524,S99999999,S99999999,S23000009,0
AB1 0QT,AB1  0QT,AB1 0QT,198001,199606,0,384616,800893,1,S00090300,S99999999,S12000033,S13002484,S08000020,S99999999,S92000003,S99999999,S14000002,S15000001,S09000001,S22000047,S03000012,S31000934,S99999999,S01006511,S02001236,S99999999,S03000012,S99999999,S99999999,3,8C1,57.098754,-2.255542,S99999999,S99999999,S23000009,0
AB1 0QX,AB1  0QX,AB1 0QX,198001,199606,0,384709,800909,1,S00090399,S99999999,S12000033,S13002484,S08000020,S99999999,S92000003,S99999999,S14000002,S15000001,S09000001,S22000047,S03000012,S31000934,S99999999,S01006514,S02001237,S99999999,S03000012,S99999999,S99999999,3,6A1,57.098901,-2.254008,S99999999,S99999999,S23000009,0
AB1 0RA,AB1  0RA,AB1 0RA,198001,199606,0,384625,800947,1,S00090399,S99999999,S12000033,S13002484,S08000020,S99999999,S92000003,S99999999,S14000002,S15000001,S09000001,S22000047,S03000012,S31000934,S99999999,S01006514,S02001237,S99999999,S03000012,S99999999,S99999999,3,6A1,57.099239,-2.255397,S99999999,S99999999,S23000009,0
AB1 0RB,AB1  0RB,AB1 0RB,198001,199606,0,384507,801016,1,S00090301,S99999999,S12000033,S13002484,S08000020,S99999999,S92000003,S99999999,S14000002,S15000001,S09000001,S22000047,S03000012,S31000934,S99999999,S01006511,S02001236,S99999999,S03000012,S99999999,S99999999,3,6A3,57.099855,-2.257349,S99999999,S99999999,S23000009,0
AB1 0RD,AB1  0RD,AB1 0RD,198001,199606,0,384508,801111,1,S00090302,S99999999,S12000033,S13002484,S08000020,S99999999,S92000003,S99999999,S14000002,S15000001,S09000001,S22000047,S03000012,S31000934,S99999999,S01006511,S02001236,S99999999,S03000012,S99999999,S99999999,3,6A3,57.100709,-2.257338,S99999999,S99999999,S23000009,0
AB1 0RE,AB1  0RE,AB1 0RE,198001,199606,0,383944,801259,1,S00090294,S99999999,S12000033,S13002484,S08000020,S99999999,S92000003,S99999999,S14000002,S15000001,S09000001,S22000047,S03000012,S31000934,S99999999,S01006507,S02001236,S99999999,S03000012,S99999999,S99999999,3,8B2,57.102019,-2.266657,S99999999,S99999999,S23000009,0
AB1 0RF,AB1  0RF,AB1 0RF,199210,199606,0,383871,801391,1,S00090296,S99999999,S12000033,S13002484,S08000020,S99999999,S92000003,S99999999,S14000002,S15000001,S09000001,S22000047,S03000012,S31000934,S99999999,S01006507,S02001236,S99999999,S03000012,S99999999,S99999999,3,8B2,57.103202,-2.26787,S99999999,S99999999,S23000009,0
AB1 0RH,AB1  0RH,AB1 0RH,198001,199606,0,383902,801270,1,S00090294,S99999999,S12000033,S13002484,S08000020,S99999999,S92000003,S99999999,S14000002,S15000001,S09000001,S22000047,S03000012,S31000934,S99999999,S01006507,S02001236,S99999999,S03000012,S99999999,S99999999,3,8B2,57.102116,-2.267351,S99999999,S99999999,S23000009,0
AB1 0RJ,AB1  0RJ,AB1 0RJ,198001,199606,0,384609,801080,1,S00090301,S99999999,S12000033,S13002484,S08000020,S99999999,S92000003,S99999999,S14000002,S15000001,S09000001,S22000047,S03000012,S31000934,S99999999,S01006511,S02001236,S99999999,S03000012,S99999999,S99999999,3,6A3,57.100434,-2.255669,S99999999,S99999999,S23000009,0
AB1 0RL,AB1  0RL,AB1 0RL,198001,199606,0,384513,801078,1,S00090302,S99999999,S12000033,S13002484,S08000020,S99999999,S92000003,S99999999,S14000002,S15000001,S09000001,S22000047,S03000012,S31000934,S99999999,S01006511,S02001236,S99999999,S03000012,S99999999,S99999999,3,6A3,57.100412,-2.257254,S99999999,S99999999,S23000009,0
AB1 0RN,AB1  0RN,AB1 0RN,198001,199606,0,384308,800972,1,S00090895,S99999999,S12000033,S13002484,S08000020,S99999999,S92000003,S99999999,S14000002,S15000001,S09000001,S22000047,S03000012,S31000934,S99999999,S01006511,S02001236,S99999999,S03000012,S99999999,S99999999,3,8A2,57.099453,-2.260631,S99999999,S99999999,S23000009,0
AB1 0RP,AB1  0RP,AB1 0RP,198001,199606,0,384453,800914,1,S00090894,S99999999,S12000033,S13002484,S08000020,S99999999,S92000003,S99999999,S14000002,S15000001,S09000001,S22000047,S03000012,S31000934,S99999999,S01006511,S02001236,S99999999,S03000012,S99999999,S99999999,3,8C1,57.098937,-2.258234,S99999999,S99999999,S23000009,0
